chapter,in,metadataTags,out,storyline-importance
clock,0,"{""oute"":""249"",""scene"":""clock"",""segment"":""clock"",""﻿elapsed"":""00:00:00""}",250,<nil>
chapter001,250,"{""oute"":""439"",""scene"":""scene001"",""segment"":""segment001"",""shot"":""close-up"",""subject"":""sting"",""﻿elapsed"":""00:00:10""}",440,10
chapter001,440,"{""oute"":""598"",""scene"":""scene001"",""segment"":""segment002"",""shot"":""close-up"",""subject"":""sting"",""﻿elapsed"":""00:00:17""}",599,6
chapter001,599,"{""oute"":""939"",""scene"":""scene001"",""segment"":""segment003"",""shot"":""close-up"",""subject"":""sting"",""﻿elapsed"":""00:00:23""}",940,3
chapter001,940,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""1402"",""scene"":""scene002"",""segment"":""segment004"",""shot"":""title"",""subject"":""title"",""﻿elapsed"":""00:00:37""}",1403,5
chapter001,1403,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""1615"",""scene"":""scene002"",""segment"":""segment005"",""shot"":""title"",""subject"":""title"",""﻿elapsed"":""00:00:56""}",1616,10
chapter001,1616,"{""Michaela Strachan"":""TRUE"",""oute"":""2505"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment006"",""shot"":""talking-heads"",""subject"":""intro"",""﻿elapsed"":""00:01:04""}",2506,1
chapter001,2506,"{""Michaela Strachan"":""TRUE"",""fight"":""TRUE"",""oute"":""2752"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment007"",""shot"":""aerial"",""subject"":""cuckoo"",""﻿elapsed"":""00:01:40""}",2753,1
chapter001,2753,"{""Michaela Strachan"":""TRUE"",""fight"":""TRUE"",""oute"":""2917"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment008"",""shot"":""aerial"",""subject"":""cuckoo"",""﻿elapsed"":""00:01:50""}",2918,1
chapter001,2918,"{""Michaela Strachan"":""TRUE"",""oute"":""3686"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment009"",""shot"":""aerial"",""subject"":""cuckoo"",""﻿elapsed"":""00:01:56""}",3687,1
chapter001,3687,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""4001"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment010"",""shot"":""talking-heads"",""subject"":""cuckoo"",""﻿elapsed"":""00:02:27""}",4002,1
chapter001,4002,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""5515"",""primary-topic"":""cuckoo"",""scene"":""scene003"",""secondary-topic"":""quiz"",""segment"":""segment011"",""shot"":""talking-heads"",""subject"":""cuckoo"",""﻿elapsed"":""00:02:40""}",5516,1
chapter001,5516,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""5905"",""primary-topic"":""cuckoo"",""scene"":""scene004"",""segment"":""segment012"",""shot"":""nest"",""subject"":""cuckoo"",""﻿elapsed"":""00:03:40""}",5906,10
chapter001,5906,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""6425"",""primary-topic"":""cuckoo"",""scene"":""scene004"",""segment"":""segment013"",""shot"":""nest"",""subject"":""cuckoo"",""﻿elapsed"":""00:03:56""}",6426,6
chapter001,6426,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""6967"",""primary-topic"":""cuckoo"",""scene"":""scene004"",""segment"":""segment014"",""shot"":""nest"",""subject"":""cuckoo"",""﻿elapsed"":""00:04:17""}",6968,3
chapter001,6968,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""7083"",""primary-topic"":""cuckoo"",""scene"":""scene004"",""segment"":""segment015"",""shot"":""talking-heads"",""subject"":""cuckoo"",""﻿elapsed"":""00:04:38""}",7084,3
chapter002,7084,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""7412"",""primary-topic"":""meadow pippet"",""scene"":""scene004"",""segment"":""segment016"",""shot"":""talking-heads"",""subject"":""meadow pippet"",""﻿elapsed"":""00:04:43""}",7413,1
chapter002,7413,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""7483"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""segment"":""segment017"",""shot"":""talking-heads"",""subject"":""meadow pippet"",""﻿elapsed"":""00:04:56""}",7484,1
chapter002,7484,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""7840"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""segment"":""segment018"",""shot"":""nest"",""subject"":""meadow pippet"",""﻿elapsed"":""00:04:59""}",7841,10
chapter002,7841,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""8320"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""segment"":""segment019"",""shot"":""nest"",""subject"":""meadow pippet"",""﻿elapsed"":""00:05:13""}",8321,6
chapter002,8321,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""9063"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""segment"":""segment020"",""shot"":""nest"",""subject"":""meadow pippet"",""﻿elapsed"":""00:05:32""}",9064,3
chapter002,9064,"{""oute"":""9455"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment021"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE"",""﻿elapsed"":""00:06:02""}",9456,10
chapter002,9456,"{""oute"":""9971"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment022"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE"",""﻿elapsed"":""00:06:18""}",9972,6
chapter002,9972,"{""oute"":""10113"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment023"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE"",""﻿elapsed"":""00:06:38""}",10114,10
chapter002,10114,"{""oute"":""10782"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment024"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE"",""﻿elapsed"":""00:06:44""}",10783,6
chapter002,10783,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""11120"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment025"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE"",""﻿elapsed"":""00:07:11""}",11121,3
chapter002,11121,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""11395"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment026"",""shot"":""talking-heads"",""subject"":""meadow pippet"",""﻿elapsed"":""00:07:24""}",11396,1
chapter003,11396,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""12929"",""primary-topic"":""meadow pippet"",""scene"":""scene006"",""segment"":""segment027"",""shot"":""talking-heads"",""subject"":""predator"",""﻿elapsed"":""00:07:35""}",12930,1
chapter003,12930,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""13302"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment028"",""shot"":""talking-heads"",""subject"":""goshawk"",""﻿elapsed"":""00:08:37""}",13303,1
chapter003,13303,"{""Chris Packham"":""TRUE"",""oute"":""13531"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment029"",""shot"":""nest"",""subject"":""goshawk"",""﻿elapsed"":""00:08:52""}",13532,10
chapter003,13532,"{""Chris Packham"":""TRUE"",""oute"":""13737"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment030"",""shot"":""nest"",""subject"":""goshawk"",""﻿elapsed"":""00:09:01""}",13738,6
chapter003,13738,"{""Chris Packham"":""TRUE"",""oute"":""14538"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment031"",""shot"":""nest"",""subject"":""goshawk"",""﻿elapsed"":""00:09:09""}",14539,3
chapter003,14539,"{""Chris Packham"":""TRUE"",""oute"":""14886"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment032"",""shot"":""nest"",""subject"":""goshawk"",""﻿elapsed"":""00:09:41""}",14887,10
chapter003,14887,"{""Chris Packham"":""TRUE"",""oute"":""15258"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment033"",""shot"":""nest"",""subject"":""goshawk"",""﻿elapsed"":""00:09:55""}",15259,3
chapter003,15259,"{""Chris Packham"":""TRUE"",""oute"":""16184"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment034"",""shot"":""nest"",""subject"":""goshawk"",""﻿elapsed"":""00:10:10""}",16185,3
chapter003,16185,"{""Chris Packham"":""TRUE"",""oute"":""16363"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment035"",""shot"":""nest"",""subject"":""goshawk"",""﻿elapsed"":""00:10:47""}",16364,1
chapter004,16364,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""oute"":""16703"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment036"",""shot"":""talking-heads"",""subject"":""bats"",""﻿elapsed"":""00:10:54""}",16704,1
chapter004,16704,"{""Chris Packham"":""TRUE"",""Megan McCubbin"":""TRUE"",""oute"":""16983"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment037"",""shot"":""aerial"",""subject"":""bats"",""﻿elapsed"":""00:11:08""}",16984,1
chapter004,16984,"{""Chris Packham"":""TRUE"",""Megan McCubbin"":""TRUE"",""oute"":""18102"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment038"",""shot"":""motage"",""subject"":""bats"",""﻿elapsed"":""00:11:19""}",18103,3
chapter004,18103,"{""Megan McCubbin"":""TRUE"",""oute"":""18331"",""primary-topic"":""bats"",""scene"":""scene006"",""segment"":""segment039"",""shot"":""archive"",""subject"":""bats"",""﻿elapsed"":""00:12:04""}",18332,3
