chapter,in,metadataTags,out,storyline-importance
clock,0,"{""elapsed"":""00:00:00"",""oute"":""249"",""scene"":""clock"",""segment"":""clock""}",250,<nil>
chapter001,250,"{""elapsed"":""00:00:10"",""oute"":""439"",""scene"":""scene001"",""segment"":""segment001"",""shot"":""close-up"",""subject"":""sting""}",440,10
chapter001,440,"{""elapsed"":""00:00:17"",""oute"":""598"",""scene"":""scene001"",""segment"":""segment002"",""shot"":""close-up"",""subject"":""sting""}",599,6
chapter001,599,"{""elapsed"":""00:00:23"",""oute"":""939"",""scene"":""scene001"",""segment"":""segment003"",""shot"":""close-up"",""subject"":""sting""}",940,3
chapter001,940,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:00:37"",""oute"":""1402"",""scene"":""scene002"",""segment"":""segment004"",""shot"":""title"",""subject"":""title""}",1403,5
chapter001,1403,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:00:56"",""oute"":""1615"",""scene"":""scene002"",""segment"":""segment005"",""shot"":""title"",""subject"":""title""}",1616,10
chapter001,1616,"{""Michaela Strachan"":""TRUE"",""elapsed"":""00:01:04"",""oute"":""2505"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment006"",""shot"":""talking-heads"",""subject"":""intro""}",2506,1
chapter001,2506,"{""Michaela Strachan"":""TRUE"",""elapsed"":""00:01:40"",""fight"":""TRUE"",""oute"":""2752"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment007"",""shot"":""aerial"",""subject"":""cuckoo""}",2753,1
chapter001,2753,"{""Michaela Strachan"":""TRUE"",""elapsed"":""00:01:50"",""fight"":""TRUE"",""oute"":""2917"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment008"",""shot"":""aerial"",""subject"":""cuckoo""}",2918,1
chapter001,2918,"{""Michaela Strachan"":""TRUE"",""elapsed"":""00:01:56"",""oute"":""3686"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment009"",""shot"":""aerial"",""subject"":""cuckoo""}",3687,1
chapter001,3687,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:02:27"",""oute"":""4001"",""primary-topic"":""cuckoo"",""scene"":""scene002"",""segment"":""segment010"",""shot"":""talking-heads"",""subject"":""cuckoo""}",4002,1
chapter001,4002,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:02:40"",""oute"":""5515"",""primary-topic"":""cuckoo"",""scene"":""scene003"",""secondary-topic"":""quiz"",""segment"":""segment011"",""shot"":""talking-heads"",""subject"":""cuckoo""}",5516,1
chapter001,5516,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:03:40"",""oute"":""5905"",""primary-topic"":""cuckoo"",""scene"":""scene004"",""segment"":""segment012"",""shot"":""nest"",""subject"":""cuckoo""}",5906,10
chapter001,5906,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:03:56"",""oute"":""6425"",""primary-topic"":""cuckoo"",""scene"":""scene004"",""segment"":""segment013"",""shot"":""nest"",""subject"":""cuckoo""}",6426,6
chapter001,6426,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:04:17"",""oute"":""6967"",""primary-topic"":""cuckoo"",""scene"":""scene004"",""segment"":""segment014"",""shot"":""nest"",""subject"":""cuckoo""}",6968,3
chapter001,6968,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:04:38"",""oute"":""7083"",""primary-topic"":""cuckoo"",""scene"":""scene004"",""segment"":""segment015"",""shot"":""talking-heads"",""subject"":""cuckoo""}",7084,3
chapter002,7084,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:04:43"",""oute"":""7412"",""primary-topic"":""meadow pippet"",""scene"":""scene004"",""segment"":""segment016"",""shot"":""talking-heads"",""subject"":""meadow pippet""}",7413,1
chapter002,7413,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:04:56"",""oute"":""7483"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""segment"":""segment017"",""shot"":""talking-heads"",""subject"":""meadow pippet""}",7484,1
chapter002,7484,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:04:59"",""oute"":""7840"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""segment"":""segment018"",""shot"":""nest"",""subject"":""meadow pippet""}",7841,10
chapter002,7841,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:05:13"",""oute"":""8320"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""segment"":""segment019"",""shot"":""nest"",""subject"":""meadow pippet""}",8321,6
chapter002,8321,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:05:32"",""oute"":""9063"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""segment"":""segment020"",""shot"":""nest"",""subject"":""meadow pippet""}",9064,3
chapter002,9064,"{""elapsed"":""00:06:02"",""oute"":""9455"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment021"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE""}",9456,10
chapter002,9456,"{""elapsed"":""00:06:18"",""oute"":""9971"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment022"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE""}",9972,6
chapter002,9972,"{""elapsed"":""00:06:38"",""oute"":""10113"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment023"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE""}",10114,10
chapter002,10114,"{""elapsed"":""00:06:44"",""oute"":""10782"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment024"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE""}",10783,6
chapter002,10783,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:07:11"",""oute"":""11120"",""predation"":""TRUE"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment025"",""shot"":""nest"",""subject"":""meadow pippet"",""threat"":""TRUE""}",11121,3
chapter002,11121,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:07:24"",""oute"":""11395"",""primary-topic"":""meadow pippet"",""scene"":""scene005"",""secondary-topic"":""fox"",""segment"":""segment026"",""shot"":""talking-heads"",""subject"":""meadow pippet""}",11396,1
chapter003,11396,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:07:35"",""oute"":""12929"",""primary-topic"":""meadow pippet"",""scene"":""scene006"",""segment"":""segment027"",""shot"":""talking-heads"",""subject"":""predator""}",12930,1
chapter003,12930,"{""Chris Packham"":""TRUE"",""Michaela Strachan"":""TRUE"",""elapsed"":""00:08:37"",""oute"":""13302"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment028"",""shot"":""talking-heads"",""subject"":""goshawk""}",13303,1
chapter003,13303,"{""Chris Packham"":""TRUE"",""elapsed"":""00:08:52"",""oute"":""13531"",""primary-topic"":""goshawk"",""scene"":""scene006"",""segment"":""segment029"",""shot"":""nest"",""subject"":""goshawk""}",13532,10
