chapter,in,metadataTags,out,storyline-importance
logo,0,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""intro"",""topics.secondary"":"""",""topics.shot"":""intro"",""topics.subject"":""sting"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",167,10
chapter001,168,"{""Speaker"":[""Rosana Prada""],""segment"":"""",""topics.primary"":""intro"",""topics.secondary"":"""",""topics.shot"":""Rosanna"",""topics.subject"":""intro"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",492,3
chapter001,493,"{""Speaker"":[""Elfed Howell""],""segment"":"""",""topics.primary"":""intro"",""topics.secondary"":"""",""topics.shot"":""Elfed"",""topics.subject"":""intro"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",689,10
chapter001,690,"{""Speaker"":[""Elfed Howell""],""segment"":"""",""topics.primary"":""intro"",""topics.secondary"":"""",""topics.shot"":""Elfed"",""topics.subject"":""intro"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",756,3
chapter001,757,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""intro"",""topics.secondary"":"""",""topics.shot"":""Werner"",""topics.subject"":""intro"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",1002,10
chapter001,1003,"{""Speaker"":[""Werner Bleisteiner""],""segment"":"""",""topics.primary"":""intro"",""topics.secondary"":"""",""topics.shot"":""Werner"",""topics.subject"":""intro"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",1126,3
chapter001,1127,"{""Speaker"":[""Johan Bolin""],""segment"":"""",""topics.primary"":""intro"",""topics.secondary"":"""",""topics.shot"":""Lucas"",""topics.subject"":""intro"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",1243,10
chapter001,1244,"{""Speaker"":[""Johan Bolin""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":"""",""topics.shot"":""Lucas"",""topics.subject"":""Next Gen Audio"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",1492,3
chapter001,1493,"{""Speaker"":[""Lucas Zwicker""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":"""",""topics.shot"":""Rosanna"",""topics.subject"":""Next Gen Audio"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",1653,10
chapter001,1654,"{""Speaker"":[""Lucas Zwicker""],""segment"":"""",""topics.primary"":""Next Gen Audio"",""topics.secondary"":"""",""topics.shot"":""Rosanna"",""topics.subject"":""Next Gen Audio"",""warnings.predation"":false,""warnings.procreation"":false,""warnings.threat"":false}",1777,3
