chapter,in,metadataTags,out,storyline-importance
logo,0,"{""Topics.Primary"":""intro"",""Topics.Secondary"":"""",""Topics.Shot"":""blender"",""Topics.Subject"":""titles"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",291,1
chapter001,292,"{""Topics.Primary"":""intro"",""Topics.Secondary"":"""",""Topics.Shot"":""titles"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",414,6
chapter001,415,"{""Topics.Primary"":""despair"",""Topics.Secondary"":"""",""Topics.Shot"":""sheep feet"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":true,""Warnings.Threat"":true,""Warnings.Violence"":false}",661,10
chapter001,662,"{""Topics.Primary"":""despair"",""Topics.Secondary"":"""",""Topics.Shot"":""suicide"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":true,""Warnings.Threat"":true,""Warnings.Violence"":true}",1105,8
chapter001,1106,"{""Topics.Primary"":""despair"",""Topics.Secondary"":"""",""Topics.Shot"":""main title"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",1396,10
chapter001,1397,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""isolation"",""Topics.Shot"":""log drag"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",1750,8
chapter001,1751,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""loneliness"",""Topics.Shot"":""sheep"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",2071,3
chapter001,2072,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""struggle"",""Topics.Shot"":""struggle"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",2374,3
chapter001,2375,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""struggle"",""Topics.Shot"":""struggle"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",3169,6
chapter001,3170,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""disturbance"",""Topics.Shot"":""excuse me"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",3573,10
chapter001,3574,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""disturbance"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",4010,3
chapter001,4011,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""victor"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",4317,3
chapter001,4318,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""victor"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",4556,10
chapter001,4557,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""victor"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",4747,6
chapter001,4748,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""victor"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",5792,3
chapter001,5793,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""one more minute"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",5948,10
chapter001,5949,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""won't regret this"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",6687,3
chapter001,6688,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""device"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",7079,3
chapter001,7080,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""better be good"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",7294,10
chapter001,7295,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""turn it on"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",7791,6
chapter001,7792,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""don't move"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",8099,3
chapter001,8100,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""come back"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",8585,3
chapter001,8586,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""loading"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",9510,3
chapter001,9511,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""cloud"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",9920,6
chapter001,9921,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""starting"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",10189,10
chapter001,10190,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""lights"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",10764,6
chapter001,10765,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""awe"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",10984,10
chapter001,10985,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""crowd"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",11300,6
chapter001,11301,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""run"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",11589,10
chapter001,11590,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""arise"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",11753,6
chapter001,11754,"{""Topics.Primary"":""despair"",""Topics.Secondary"":""arise"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",11948,3
chapter002,11949,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""awake"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",12542,10
chapter002,12543,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""discovery"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",12721,6
chapter002,12722,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""discovery"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",13027,3
chapter002,13028,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""discovery"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",13226,3
chapter002,13227,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""zoom"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",13468,10
chapter003,13469,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""pan"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",13691,6
chapter003,13692,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""pan"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",13890,10
chapter003,13891,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""pan"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",13953,3
chapter003,13954,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""cliff hanger"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",14473,3
chapter003,14474,"{""Topics.Primary"":""hope"",""Topics.Secondary"":""end"",""Topics.Shot"":""frank"",""Topics.Subject"":""first cycle"",""Warnings.Drugs"":false,""Warnings.Suicide"":false,""Warnings.Threat"":false,""Warnings.Violence"":false}",17531,3
