elapsed,in,out,chapter,segment,subject,storyline-importance,shot,character1,character2,character3,character4,character5,primary-topic,secondary-topic,violence,threat,drugs,suicide
00:00:00,0,292,logo,logo,titles,1,blender,,,,,,intro,,,,,
00:00:11,292,415,chapter001,segment001,first cycle,6,titles,,,,,,intro,0,,,,
00:00:16,415,662,chapter001,segment002,first cycle,10,sheep feet,,,,,,despair,0,,33,,33
00:00:26,662,1106,chapter001,segment003,first cycle,8,suicide,,,,,,despair,0,100,100,,100
00:00:44,1106,1397,chapter001,segment004,first cycle,10,main title,,,,,,despair,0,,,,
00:00:55,1397,1751,chapter001,segment005,first cycle,8,log drag,,,,,,despair,isolation,,,,
00:01:10,1751,2072,chapter001,segment006,first cycle,3,sheep,,,,,,despair,loneliness,,,,
00:01:22,2072,2375,chapter001,segment007,first cycle,3,struggle,,,,,,despair,struggle,,,,
00:01:35,2375,3170,chapter001,segment008,first cycle,6,struggle,,,,,,despair,struggle,,,,
00:02:06,3170,3574,chapter001,segment009,first cycle,10,excuse me,,,,,,despair,disturbance,,,,
00:02:22,3574,4011,chapter001,segment010,first cycle,3,frank,,,,,,despair,disturbance,,,,
00:02:40,4011,4318,chapter001,segment011,first cycle,3,frank,,,,,,despair,victor,,,,
00:02:52,4318,4557,chapter001,segment012,first cycle,10,frank,,,,,,despair,victor,,,,
00:03:02,4557,4748,chapter001,segment013,first cycle,6,frank,,,,,,despair,victor,,,,
00:03:09,4748,5793,chapter001,segment014,first cycle,3,frank,,,,,,despair,victor,,,,
00:03:51,5793,5949,chapter001,segment015,first cycle,10,frank,,,,,,despair,one more minute,,,,
00:03:57,5949,6688,chapter001,segment016,first cycle,3,frank,,,,,,despair,won't regret this,,,,
00:04:27,6688,7080,chapter001,segment017,first cycle,3,frank,,,,,,despair,device,,,,
00:04:43,7080,7295,chapter001,segment018,first cycle,10,frank,,,,,,despair,bettter be good,,,,
00:04:51,7295,7792,chapter001,segment019,first cycle,6,frank,,,,,,despair,turn it on,,,,
00:05:11,7792,8100,chapter001,segment020,first cycle,3,frank,,,,,,despair,don't move,,,,
00:05:24,8100,8586,chapter001,segment021,first cycle,3,frank,,,,,,despair,come back,,,,
00:05:43,8586,9511,chapter001,segment022,first cycle,3,frank,,,,,,despair,loading,,,,
00:06:20,9511,9921,chapter001,segment023,first cycle,6,frank,,,,,,despair,cloud,,,,
00:06:36,9921,10190,chapter001,segment024,first cycle,10,frank,,,,,,despair,starting,,,,
00:06:47,10190,10765,chapter001,segment025,first cycle,6,frank,,,,,,despair,lights,,,,
00:07:10,10765,10985,chapter001,segment026,first cycle,10,frank,,,,,,despair,awe,,,,
00:07:19,10985,11301,chapter001,segment027,first cycle,6,frank,,,,,,despair,crowd,,,,
00:07:32,11301,11590,chapter001,segment028,first cycle,10,frank,,,,,,despair,run,,,,
00:07:43,11590,11754,chapter001,segment029,first cycle,6,frank,,,,,,despair,arise,,,,
00:07:50,11754,11949,chapter001,segment030,first cycle,3,frank,,,,,,despair,arise,,,,
00:07:57,11949,12543,chapter002,segment031,first cycle,10,frank,,,,,,hope,awake,,,,
00:08:21,12543,12722,chapter002,segment032,first cycle,6,frank,,,,,,hope,discovery,,,,
00:08:28,12722,13028,chapter002,segment033,first cycle,3,frank,,,,,,hope,discovery,,,,
00:08:41,13028,13227,chapter002,segment034,first cycle,3,frank,,,,,,hope,discovery,,,,
00:08:49,13227,13469,chapter002,segment035,first cycle,10,frank,,,,,,hope,zoom,,,,
00:08:58,13469,13692,chapter003,segment036,first cycle,6,frank,,,,,,hope,pan,,,,
00:09:07,13692,13891,chapter003,segment037,first cycle,10,frank,,,,,,hope,pan,,,,
00:09:15,13891,13954,chapter003,segment038,first cycle,3,frank,,,,,,hope,pan,,,,
00:09:18,13954,14474,chapter003,segment039,first cycle,3,frank,,,,,,hope,cliff hanger,,,,
00:09:38,14474,17532,chapter003,segment040,first cycle,3,frank,,,,,,hope,end,,,,
