in,metadataTag,out,segment,source
0,"{""chapter"":""logo"",""elapsed"":""00:00:00"",""primary-topic"":""intro"",""shot"":""blender"",""storyline-importance"":""1"",""subject"":""titles""}",292,logo,<nil>
292,"{""chapter"":""chapter001"",""elapsed"":""00:00:11"",""primary-topic"":""intro"",""secondary-topic"":""0"",""shot"":""titles"",""storyline-importance"":""6"",""subject"":""first cycle""}",415,segment001,<nil>
415,"{""chapter"":""chapter001"",""elapsed"":""00:00:16"",""primary-topic"":""despair"",""secondary-topic"":""0"",""shot"":""sheep feet"",""storyline-importance"":""10"",""subject"":""first cycle"",""suicide"":""33"",""threat"":""33""}",662,segment002,<nil>
662,"{""chapter"":""chapter001"",""elapsed"":""00:00:26"",""primary-topic"":""despair"",""secondary-topic"":""0"",""shot"":""suicide"",""storyline-importance"":""8"",""subject"":""first cycle"",""suicide"":""100"",""threat"":""100"",""violence"":""100""}",1106,segment003,<nil>
1106,"{""chapter"":""chapter001"",""elapsed"":""00:00:44"",""primary-topic"":""despair"",""secondary-topic"":""0"",""shot"":""main title"",""storyline-importance"":""10"",""subject"":""first cycle""}",1397,segment004,<nil>
1397,"{""chapter"":""chapter001"",""elapsed"":""00:00:55"",""primary-topic"":""despair"",""secondary-topic"":""isolation"",""shot"":""log drag"",""storyline-importance"":""8"",""subject"":""first cycle""}",1751,segment005,<nil>
1751,"{""chapter"":""chapter001"",""elapsed"":""00:01:10"",""primary-topic"":""despair"",""secondary-topic"":""loneliness"",""shot"":""sheep"",""storyline-importance"":""3"",""subject"":""first cycle""}",2072,segment006,<nil>
2072,"{""chapter"":""chapter001"",""elapsed"":""00:01:22"",""primary-topic"":""despair"",""secondary-topic"":""struggle"",""shot"":""struggle"",""storyline-importance"":""3"",""subject"":""first cycle""}",2375,segment007,<nil>
2375,"{""chapter"":""chapter001"",""elapsed"":""00:01:35"",""primary-topic"":""despair"",""secondary-topic"":""struggle"",""shot"":""struggle"",""storyline-importance"":""6"",""subject"":""first cycle""}",3170,segment008,<nil>
3170,"{""chapter"":""chapter001"",""elapsed"":""00:02:06"",""primary-topic"":""despair"",""secondary-topic"":""disturbance"",""shot"":""excuse me"",""storyline-importance"":""10"",""subject"":""first cycle""}",3574,segment009,<nil>
3574,"{""chapter"":""chapter001"",""elapsed"":""00:02:22"",""primary-topic"":""despair"",""secondary-topic"":""disturbance"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",4011,segment010,<nil>
4011,"{""chapter"":""chapter001"",""elapsed"":""00:02:40"",""primary-topic"":""despair"",""secondary-topic"":""victor"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",4318,segment011,<nil>
4318,"{""chapter"":""chapter001"",""elapsed"":""00:02:52"",""primary-topic"":""despair"",""secondary-topic"":""victor"",""shot"":""frank"",""storyline-importance"":""10"",""subject"":""first cycle""}",4557,segment012,<nil>
4557,"{""chapter"":""chapter001"",""elapsed"":""00:03:02"",""primary-topic"":""despair"",""secondary-topic"":""victor"",""shot"":""frank"",""storyline-importance"":""6"",""subject"":""first cycle""}",4748,segment013,<nil>
4748,"{""chapter"":""chapter001"",""elapsed"":""00:03:09"",""primary-topic"":""despair"",""secondary-topic"":""victor"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",5793,segment014,<nil>
5793,"{""chapter"":""chapter001"",""elapsed"":""00:03:51"",""primary-topic"":""despair"",""secondary-topic"":""one more minute"",""shot"":""frank"",""storyline-importance"":""10"",""subject"":""first cycle""}",5949,segment015,<nil>
5949,"{""chapter"":""chapter001"",""elapsed"":""00:03:57"",""primary-topic"":""despair"",""secondary-topic"":""won't regret this"",""shot"":""frank"",""storyline-importance"":""3"",""subject"":""first cycle""}",6688,segment016,<nil>
